user_id,top10_recommendations,groundtruth
2873,"[1196, 318, 260, 1, 1270, 356, 1197, 1210, 2797, 1036]","[2141, 1196, 3755, 2355, 105, 1210, 2443, 597, 3675, 1136, 3536, 3159, 2671, 920, 3259, 1012, 2115, 1895, 260, 1, 2424, 3408, 1197, 3185, 3398, 318, 2804]"
3521,"[1136, 1196, 858, 750, 1240, 1097, 1307, 3471, 2918, 541]","[2991, 1307, 1333, 1262, 3471, 2362, 1297, 2918, 1240, 3508, 3814, 3006, 1220, 1285, 1097, 954, 2990, 2657, 1131, 3608, 3507, 593, 950, 2949, 39, 3751, 3671, 3210, 3629, 1265, 1208, 3793, 541, 3552, 1230]"
1683,"[2918, 2797, 1097, 2000, 1196, 1079, 1197, 260, 3448, 1240]","[1081, 2463, 1302, 2000, 1959, 2144, 2005, 541, 1376, 2758, 3102]"
2753,"[260, 1247, 750, 1208, 527, 593, 318, 1265, 1307, 1197]","[3044, 3507, 954, 2863, 2788, 1395, 3478, 3091, 2186, 1300, 951, 2202, 2075, 1132, 1946, 1254, 3763, 1303, 1103, 3421, 3097, 3361, 2918, 3135, 1307, 260, 3260, 2949, 3468, 1953, 1272, 3868, 1280, 3111, 1172, 1945, 897, 1247, 950, 3819, 3740, 1237, 2243, 671, 1641, 1178, 1042, 1288, 3731, 1212, 936, 1238, 2019, 1964]"
2264,"[1198, 1196, 1307, 1240, 318, 1197, 1291, 1265, 1, 1210]","[1387, 3247, 356, 1293, 1198, 1240, 1196, 3074, 1291, 1197, 969, 1185, 539, 2082, 1271, 3868, 2123, 3408, 1258, 383, 589, 230, 2746, 3450, 1210, 647, 1193]"
4600,"[1196, 1198, 1240, 2918, 1036, 2762, 589, 2028, 50, 1136]","[3917, 3591, 1258, 1023, 1968, 1517, 3508, 2804, 104, 1198, 1220, 2375, 1732, 2302, 21, 3253, 333, 1196, 923]"
1044,"[1270, 1394, 1079, 1036, 2194, 2797, 1208, 1288, 3471, 296]","[2144, 3019, 1202, 2354, 2973, 2243, 1079, 2139, 661, 2150, 2301, 1965, 1036, 2064]"
2265,"[260, 1036, 1387, 2571, 1270, 589, 2028, 2194, 593, 3471]","[2406, 3479, 3513, 3256, 2344, 1036, 260, 1204, 2353, 3372, 2028, 3555, 2951, 589, 2194, 1262]"
1980,"[296, 260, 1265, 50, 1197, 2918, 1079, 1208, 1240, 2571]","[1028, 62, 3421, 3211, 1937, 471, 2571, 1794, 260, 529, 1914, 2268, 1885, 3730, 1278, 1046, 509, 1611, 2043, 1204, 3175, 3396, 2725, 1500, 2770, 1883, 3733, 2029, 1633, 1747, 2942, 3176, 1183, 3040, 2581, 900, 2959, 1187, 553, 1265, 279, 2352, 2968, 1936, 3478, 2997, 2086, 50, 1694, 3852, 1096, 2433, 3510, 2280, 1641, 296, 246, 1079, 1961, 1965, 2918, 3794, 1860, 902, 3713, 2791, 2361, 2496, 3897, 1042, 1517, 1719, 1208, 1130, 2294, 1678, 1968, 144, 2943, 1777, 508]"
660,"[318, 1196, 593, 260, 858, 1270, 2571, 1136, 1097, 2762]","[2539, 3811, 1187, 3809, 3360, 1953, 951, 924, 2329, 2231, 318, 3185, 1404, 435, 3763, 1193, 1094, 2921, 164, 2746, 1276, 2291, 3451, 2124, 1262]"
1712,"[858, 1097, 1265, 2000, 541, 1222, 1079, 3421, 1089, 1923]","[2000, 3916, 893, 3450, 2948, 441, 541, 266, 3508, 1500, 2348, 3275, 2693, 3396, 954, 3418, 2501, 3555, 1923, 2352, 1089, 1799, 951, 2683, 3421, 858, 1293, 3703, 2872, 1997, 1097, 1265, 1960]"
1019,"[1136, 1394, 260, 1247, 1079, 593, 1221, 1196, 541, 924]","[1221, 1959, 1961, 32, 2791, 1092, 2747, 300, 2857, 3468, 3730, 2474, 3196, 3811, 3618, 2571, 3328, 1964, 1953, 3306, 2897, 446, 806, 3272, 1247, 2502, 2726, 2351, 2770, 3868, 2285, 535, 615, 1689, 3682, 1280, 921, 435, 541, 3030, 3911, 1196, 1249, 1958, 637, 3535, 1209, 3507, 680, 3099, 1084, 1279, 1273, 924, 3499, 2371, 1136, 3613, 1997, 1079, 922]"
5405,"[593, 527, 2762, 50, 1265, 1704, 1198, 1196, 260, 858]","[1333, 39, 858, 628, 105, 246, 924, 1393, 2272, 3006]"
2787,"[593, 296, 1240, 2918, 2571, 1136, 1097, 527, 2762, 858]","[2194, 1, 593, 1276, 2762, 1466, 527, 337, 3210, 296, 1097, 3703, 1089, 3281, 2174, 1221, 3408, 1222]"
3180,"[1136, 318, 1221, 527, 2918, 1197, 1270, 1240, 750, 1265]","[1206, 1387, 1221, 2028, 1729, 923, 1635, 2804, 3471, 750, 1247, 52, 235, 2750, 1136, 1095, 1704, 508, 223, 176]"
5548,"[778, 1358, 1265, 1089, 1673, 1196, 1136, 1923, 2028, 2959]","[1594, 1041, 2248, 265, 337, 1295, 597, 1914, 506, 1258, 1247, 3083, 2395, 3081, 1682, 1197, 1188, 1897]"
4517,"[1197, 1, 2571, 1210, 1307, 356, 50, 1240, 1923, 2028]","[648, 3148, 230, 3421, 3751, 50, 2291, 2359, 1923, 3408, 1246, 1682, 292, 1271, 2863, 2124, 923, 1673, 2699, 356, 1197, 3499, 1291, 1, 2161, 2581, 1392, 3317]"
2462,"[1270, 858, 296, 593, 1265, 3471, 2918, 318, 1210, 527]","[1210, 3429, 3793, 1951, 318, 1220, 1247, 329, 908, 3471, 2804, 2291, 1188, 593, 356, 2393, 1265, 1080, 60, 2921, 2431, 3396, 3255]"
2172,"[318, 2571, 2997, 527, 1270, 2918, 2028, 1394, 541, 1]","[3809, 235, 1206, 3910, 3098, 1405, 1204, 2918, 527, 766, 1394, 1701, 923, 2997, 3129, 1680, 288]"
2453,"[260, 2571, 1270, 1265, 1610, 858, 1097, 1393, 1197, 1307]","[337, 2194, 2406, 2240, 1307, 266, 597, 381, 1694, 1222, 2918, 1179, 147, 1299, 1834, 2353, 3863, 11, 1542, 2001, 224, 1953, 1719, 62, 1208, 260, 2912, 1125, 858, 3623, 280, 574, 2951, 1729, 3811, 3260, 1276, 2391, 2696, 1892, 3444, 2276, 1610, 2571, 3555, 1095, 2541, 1404, 2769, 464, 2393, 1393, 508, 1498, 1589, 1722, 2852, 2966, 3783, 2474, 517, 1354]"
5342,"[1240, 2028, 1210, 318, 593, 2000, 1097, 480, 1197, 1265]","[593, 2355, 1, 349, 1210, 1012, 282, 3256, 2028, 1240]"
4785,"[1196, 260, 1307, 296, 527, 356, 2571, 2797, 2918, 2028]","[357, 1610, 1307, 1249, 2657, 2359, 2424, 902, 1247, 1258, 3114, 11, 1727, 2065, 383, 898, 2006, 2671, 1042, 46, 351, 908, 3260, 1719, 709, 500, 539, 2278, 3893]"
118,"[1270, 1210, 589, 1, 1610, 1097, 318, 593, 296, 1220]","[3793, 1680, 2125, 3082, 1304, 1210, 589, 39, 590, 1249, 10, 3755, 3175, 3751, 2947]"
5738,"[260, 2571, 1036, 1136, 593, 1097, 589, 541, 318, 1291]","[3512, 1263, 3256, 2841, 1130, 3396, 260, 647, 3342, 2501, 2452, 1590, 3066, 2459, 1136, 3062, 1090, 2571, 318, 1036, 3114, 1610, 2710, 1095, 778, 1, 2804, 1945, 1208, 1245, 1866]"
412,"[1198, 593, 1265, 296, 2797, 1210, 50, 1291, 2762, 356]","[2443, 1103, 356, 924, 950, 1265, 802, 3359, 3324, 168, 3809, 1302, 1132, 3072, 1131, 3078, 2302, 3893, 1498, 2116, 1876, 3204, 2278, 2797, 62, 2476, 1695, 3506, 2921, 1198, 2865, 1747, 3360, 3101, 2973, 3925, 2949, 3706, 3649, 1125, 3697, 1288, 2942, 17, 1874, 3448, 1222, 50, 2272, 1957, 3259, 1042, 2371, 1923]"
1112,"[1196, 1198, 318, 1197, 1307, 1704, 858, 3471, 2000, 1079]","[112, 1694, 1333, 3081, 2003, 3095, 247, 2329, 494, 1722, 1033, 3148, 969, 3300, 1997, 720, 1297, 1307, 1196, 316, 3256, 2359, 1394, 3615, 308, 1704, 1197, 2908, 2959, 3943, 3639, 3927, 2989, 368, 2139, 1198, 2291, 3147, 1358, 1185, 3452, 318, 223, 2005, 3471, 551, 17, 39]"
409,"[296, 318, 1270, 1240, 1197, 2762, 1136, 589, 1, 2000]","[1704, 1321, 1291, 2762, 3527, 2997, 2134, 3203, 3148, 1370, 1079, 3107, 1089, 1307, 2459, 318, 3253, 1484, 431, 1125, 62, 3087, 590, 2628, 2966, 1231, 1299, 428]"
4342,"[1198, 2571, 1210, 1197, 2000, 589, 2918, 1220, 1136, 2797]","[3702, 3697, 589, 1288, 2145, 2376, 3422, 1376, 1198, 3591, 21, 861, 3526, 2918, 2792, 2372, 1197, 3210, 2804, 2403, 3147, 778, 3052, 2530, 2119, 2076, 527]"
1753,"[858, 1240, 50, 1136, 1197, 750, 527, 1270, 1221, 1036]","[1288, 112, 1391, 2693, 3882, 3267, 1544, 3897, 1480, 2912, 527, 517, 1289, 1649, 3852, 1610, 3224, 786, 858, 920, 3479, 3107, 246, 3785, 3534, 1370]"
5854,"[1240, 1196, 260, 1198, 1036, 1210, 1291, 1270, 2000, 2028]","[2119, 2747, 50, 1831, 2672, 172, 1866, 1258, 2377, 1690, 861, 2302, 2046, 2505, 260, 1175, 547]"
4815,"[1196, 1198, 1136, 1097, 858, 1240, 924, 593, 923, 296]","[3704, 2539, 1198, 1196, 3548, 3703, 898, 955, 1527, 3408, 1732, 2393, 923, 2968, 3634, 3148, 3364, 1097, 1459, 1193, 3910, 3911, 3358, 2571]"
1451,"[1136, 2571, 858, 1265, 2028, 1387, 1, 1208, 2762, 1278]","[2076, 2470, 3771, 2966, 2826, 3114, 1391, 914, 991, 39, 2312, 2734, 529, 3424, 2912, 2378, 2357, 2572, 282, 1246, 1387, 2401, 3036, 3157, 2028, 924, 3098, 458, 597, 2393, 2762, 759, 342, 1208, 1265, 1, 1464, 1095, 3745, 3203, 3108, 539, 2202, 2469, 3943, 3704, 3556, 17, 1958, 2121, 3468, 2140, 3253, 648, 1635, 3763, 2101, 246, 3308, 1103, 3153, 1682, 1517, 1090, 1375]"
3691,"[260, 1197, 1210, 589, 2762, 2028, 50, 1265, 1097, 1610]","[2712, 2762, 1089, 2115, 2268, 2791, 3703, 2028, 265, 1206, 306, 3147, 1610, 260, 357, 1210, 2947, 50, 308, 32, 3173, 589, 1204, 1370, 1641, 2002]"
3503,"[260, 1136, 858, 589, 3471, 2762, 1090, 3421, 1304, 2997]","[2268, 3489, 799, 1953, 2762, 905, 2959, 2686, 2891, 1090, 2011, 1722, 266, 2920, 1237, 3745, 58, 2502, 3471, 1183, 2792, 260, 671, 923, 1945, 1449, 1136, 647, 3448, 1230, 2003, 3671, 1228, 70, 628, 2968, 858, 1206, 3100, 1212, 3740, 2596, 2193, 2450, 2139, 3858, 3873, 3421, 1247, 3793, 553, 2575]"
457,"[318, 1197, 1036, 1136, 2918, 589, 1265, 1208, 1291, 541]","[2918, 2011, 2109, 2710, 58, 475, 2997, 1092, 1184, 1208, 1245, 508, 1673, 356, 1090, 589, 337, 2797, 3006, 529, 750, 32, 2174, 1120, 1079, 318, 1036, 2329, 3608, 3263, 3361]"
3261,"[296, 593, 1197, 1270, 1136, 50, 1, 2918, 858, 1240]","[1395, 2359, 2390, 2360, 2115, 3408, 1245, 150, 2268, 2159, 3072, 1094, 3362, 2441, 3868, 373, 1136, 551, 1270, 1473, 1885, 1220, 3897, 1777, 426, 2000, 2181, 1, 2912, 2997, 2406, 1204, 223, 1897, 1279, 296, 232, 1271, 266]"
1587,"[1198, 2918, 1270, 318, 593, 2571, 1, 2797, 1240, 858]","[1012, 898, 1834, 3897, 2340, 3852, 1639, 3510, 265, 180, 2918, 3418, 3097, 2770, 663, 292, 1914, 1500, 372, 1090, 3020, 1096, 2150, 1517, 3176, 2160, 1704, 2248, 2571, 914]"
4291,"[2571, 1198, 480, 541, 2028, 3527, 1, 593, 2762, 1376]","[1653, 2019, 2012, 2405, 2028, 1198, 1370, 3763, 1965, 2115, 2393]"
5493,"[1136, 1270, 2571, 1240, 1079, 2797, 750, 589, 1193, 1387]","[3078, 1673, 1466, 1136, 1270, 3703, 1193, 1293, 1732, 3618, 1179, 1845, 1125, 2347, 3114, 2076, 2699, 924, 2804, 3147, 3175, 3893, 3915, 348, 1923, 25, 2064, 1079, 337, 991, 707, 2359, 2583, 3551, 1794, 162]"
187,"[296, 527, 2997, 300, 1265, 3418, 2291, 1, 25, 1089]","[2291, 2966, 25, 1547, 3253, 1265, 1896, 1810, 300, 144, 1725, 17, 1147, 1057, 2883, 1, 515, 1271, 446, 1545, 1794, 3711, 2571, 1747, 4, 1885, 3129, 1050, 2282, 1245, 476, 802, 3536, 1840, 301, 232, 1732, 1517, 538, 296, 1054, 720, 3267, 1649, 1729, 1043, 2963, 1633, 3255, 920, 508, 3821, 2108]"
4680,"[296, 1136, 318, 1394, 1198, 235, 1208, 1196, 1288, 260]","[1649, 535, 602, 3421, 1484, 1663, 1732, 2521, 3635, 3019, 3253, 2371, 527, 3551, 1136, 3814, 2065, 58, 585, 2243, 1249, 3203, 1041, 3676, 778, 1968, 2966, 3254, 3362, 3281, 25, 3911, 296, 3420]"
2389,"[260, 1136, 318, 1197, 1270, 1240, 1265, 527, 1, 1097]","[260, 861, 2282, 1370, 1249, 1204, 951, 3760, 1639, 1148, 720, 2804, 1231, 1527, 908, 778, 1673, 663, 2949, 3671, 1356, 318]"
854,"[318, 593, 1198, 1196, 296, 1, 1270, 260, 1197, 1704]","[318, 593, 490, 2263, 597, 524, 1704, 1678, 3247, 2724, 1, 1353, 480]"
3760,"[1196, 1240, 1136, 1210, 2571, 1304, 1097, 593, 3471, 589]","[1262, 1732, 750, 1196, 1097, 1206, 2161, 70, 1303, 950, 232, 999, 3114, 3811, 1301, 1210, 1240, 1333, 50, 2355, 3421, 296, 2652, 1276]"
5271,"[1196, 1136, 318, 527, 1265, 1270, 1247, 1079, 1240, 1097]","[1944, 417, 1719, 2469, 3635, 3359, 3418, 1097, 2080, 1220, 1036, 1179, 1293, 715, 2278, 1028, 1639, 2949, 307, 2609, 2395, 1673, 2912, 2145, 2692, 3067, 1554, 247]"
743,"[296, 1394, 1265, 1079, 1197, 593, 318, 50, 2396, 2918]","[2396, 1914, 1923, 2759, 3911, 720, 969, 3786, 2918, 1304, 3629, 3897, 2395, 1223]"
2559,"[1196, 260, 589, 1036, 1270, 1, 527, 1097, 2918, 2194]","[260, 1196, 991, 3408, 1036, 1270, 597, 1, 2002, 1097, 1377, 1459, 2054, 590, 1923, 628, 2006, 2058, 2193]"
2156,"[260, 1198, 1270, 1210, 296, 1097, 1036, 2918, 593, 1]","[147, 1023, 1148, 318, 553, 1198, 2772, 2033, 3552, 296, 543, 1150, 1276, 593, 1250, 520, 720, 314]"
