user_id,history,candidates,ground_truth
34,"Movie 39: Clueless (Genres: Comedy, Drama, Romance; Language: en; Overview: Cher, a popular matchmaker, learns lessons about love and identity.),Movie 356: Forrest Gump (Genres: Comedy, Drama, Romance; Language: en; Overview: Forrest Gump: determination and love triumph over challenges and limitations.),Movie 1097: E.T. the Extra-Terrestrial (Genres: Science Fiction, Adventure, Family, Fantasy; Language: en; Overview: Gentle alien befriends boy; illness leads to government intervention.),Movie 1258: The Shining (Genres: Horror, Thriller; Language: en; Overview: Jack Torrance takes a winter caretaker job, facing unseen madness.),Movie 2109: The Jerk (Genres: Comedy; Language: en; Overview: Navin Johnson's comedic journey explores identity, riches, and true love.),Movie 2174: Beetlejuice (Genres: Fantasy, Comedy; Language: en; Overview: Young couple becomes poltergeists, seek help to scare new owners.),Movie 2396: Shakespeare in Love (Genres: Romance, History; Language: en; Overview: Shakespeare's unwritten comedy transforms into tragedy through forbidden love.),Movie 2485: She's All That (Genres: Comedy, Romance; Language: en; Overview: Zach must transform nerdy Laney into prom queen to regain popularity.),Movie 2804: A Christmas Story (Genres: Comedy, Family; Language: en; Overview: Young Ralph hilariously struggles to convince others about a B.B. gun.),Movie 2918: Ferris Bueller's Day Off (Genres: Comedy; Language: en; Overview: Ferris Bueller skips school in Chicago with friends and girlfriend.)",,
35,"Movie 902: Breakfast at Tiffany's (Genres: Comedy, Drama, Romance; Language: en; Overview: Holly and Paul fall in love; her past complicates romance.),Movie 1028: Mary Poppins (Genres: Comedy, Family, Fantasy; Language: en; Overview: Mary Poppins, a magical nanny, helps Banks children with adventures.),Movie 1103: Rebel Without a Cause (Genres: Drama; Language: en; Overview: Teen Jim Stark faces challenges after moving, including love, conflict.),Movie 1172: Cinema Paradiso (Genres: Drama, Romance; Language: it; Overview: Filmmaker remembers childhood love for movies and friendship with projectionist.),Movie 1197: The Princess Bride (Genres: Adventure, Family, Fantasy, Comedy, Romance; Language: en; Overview: Princess Buttercup and Westley face challenges for true love's triumph.),Movie 1300: My Life as a Dog (Genres: Drama, Comedy; Language: sv; Overview: Brothers are separated to help their ill mother rest.),Movie 2571: The Matrix (Genres: Action, Science Fiction; Language: en; Overview: In the 22nd century, a hacker joins rebels against computers.),Movie 2692: Run Lola Run (Genres: Action, Drama, Thriller; Language: de; Overview: Lola must quickly raise money to save Manni from danger.),Movie 2732: Jules and Jim (Genres: Drama, Romance; Language: fr; Overview: Two friends love the same woman, complicating their friendship.),Movie 3700: The Brother from Another Planet (Genres: Comedy, Drama, Science Fiction; Language: en; Overview: Alien slave crashes in NYC, pursued by bounty hunters; immigrant parallels.)",,
36,"Movie 32: Twelve Monkeys (Genres: Science Fiction, Thriller, Mystery; Language: en; Overview: James Cole time travels to uncover a deadly virus's origin.),Movie 555: True Romance (Genres: Action, Thriller, Crime, Romance; Language: en; Overview: Clarence marries Alabama, steals cocaine, and faces vengeful pursuers.),Movie 556: The War Room (Genres: Documentary, History; Language: en; Overview: Documentary highlights Clinton campaign through spin doctors Carville and Stephanopoulos.),Movie 1147: When We Were Kings (Genres: Documentary; Language: en; Overview: Ali and Foreman fight in Zaire, promoted by Don King.),Movie 1191: Madonna: Truth or Dare (Genres: Documentary, Music; Language: en; Overview: Madonna's 1990 tour documentary showcases her performances and personal moments.),Movie 1240: The Terminator (Genres: Action, Thriller, Science Fiction; Language: en; Overview: Cyborg assassin sent to kill Sarah Connor; resistance fights back.),Movie 2269: Indecent Proposal (Genres: Drama; Language: en; Overview: Billionaire offers yuppie husband $1 million to spend night with wife.),Movie 2774: Better Than Chocolate (Genres: Drama, Romance; Language: en; Overview: Maggie's new roommates complicate her relationship with a woman.),Movie 2972: Red Sorghum (Genres: Drama, War; Language: zh; Overview: Leper dies; wife and lover establish community, resist invaders.),Movie 3142: U2: Rattle and Hum (Genres: Documentary, Music; Language: en; Overview: U2's concert film showcasing their Joshua Tree tour highlights.)",,
42,"Movie 750: Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (Genres: Drama, Comedy, War; Language: en; Overview: General Ripper's nuclear strike prompts frantic efforts to prevent disaster.),Movie 1129: Escape from New York (Genres: Science Fiction, Action; Language: en; Overview: Manhattan prison holds criminals; soldier Snake Plissken must rescue President.),Movie 1197: The Princess Bride (Genres: Adventure, Family, Fantasy, Comedy, Romance; Language: en; Overview: Princess Buttercup and Westley face challenges for true love's triumph.),Movie 1222: Full Metal Jacket (Genres: Drama, War; Language: en; Overview: Marine observes dehumanization of recruits during Vietnam War experiences.),Movie 1240: The Terminator (Genres: Action, Thriller, Science Fiction; Language: en; Overview: Cyborg assassin sent to kill Sarah Connor; resistance fights back.),Movie 2021: Dune (Genres: Action, Science Fiction, Adventure; Language: en; Overview: War for Dune's Spice leads to betrayal and power struggles.),Movie 2134: Weird Science (Genres: Comedy, Romance, Fantasy; Language: en; Overview: Two teens create a woman to boost their confidence.),Movie 2174: Beetlejuice (Genres: Fantasy, Comedy; Language: en; Overview: Young couple becomes poltergeists, seek help to scare new owners.),Movie 2193: Willow (Genres: Adventure, Drama, Action; Language: en; Overview: Evil queen imprisons pregnant women; baby Elora escapes with Willow.),Movie 3740: Big Trouble in Little China (Genres: Action, Adventure, Comedy, Fantasy; Language: en; Overview: Trucker Jack battles sorcerer Lo Pan for Wang's green-eyed fiancée.)",,
44,"Movie 527: Schindler's List (Genres: Drama, History, War; Language: en; Overview: Oskar Schindler saved over a thousand Jewish lives in WWII.),Movie 1240: The Terminator (Genres: Action, Thriller, Science Fiction; Language: en; Overview: Cyborg assassin sent to kill Sarah Connor; resistance fights back.),Movie 1552: Con Air (Genres: Action, Thriller, Crime; Language: en; Overview: Criminals hijack a plane; Cameron Poe seeks family reunion.),Movie 2140: The Dark Crystal (Genres: Fantasy; Language: en; Overview: Gelfling seeks crystal shard to restore order and defeat Skeksis.),Movie 2174: Beetlejuice (Genres: Fantasy, Comedy; Language: en; Overview: Young couple becomes poltergeists, seek help to scare new owners.),Movie 2193: Willow (Genres: Adventure, Drama, Action; Language: en; Overview: Evil queen imprisons pregnant women; baby Elora escapes with Willow.),Movie 2297: What Dreams May Come (Genres: Drama, Fantasy, Romance; Language: en; Overview: Chris Neilson risks hell to reunite with his wife, Annie.),Movie 3251: Agnes of God (Genres: Drama, Mystery; Language: en; Overview: Psychiatrist evaluates novice's competency in newborn's murder case.),Movie 3264: Buffy the Vampire Slayer (Genres: Action, Comedy, Horror; Language: en; Overview: Buffy, cheerleader, battles vampires while pursuing her dreams.),Movie 3928: Abbott and Costello Meet Frankenstein (Genres: Comedy, Horror; Language: en; Overview: Two freight handlers encounter Dracula, Frankenstein, and the Wolf Man.)",,
45,"Movie 39: Clueless (Genres: Comedy, Drama, Romance; Language: en; Overview: Cher, a popular matchmaker, learns lessons about love and identity.),Movie 728: Cold Comfort Farm (Genres: Comedy, Drama, Romance; Language: en; Overview: Orphaned girl revitalizes her relatives' lives at Cold Comfort Farm.),Movie 902: Breakfast at Tiffany's (Genres: Comedy, Drama, Romance; Language: en; Overview: Holly and Paul fall in love; her past complicates romance.),Movie 920: Gone with the Wind (Genres: Drama, Romance, War; Language: en; Overview: Turbulent love affair between manipulative woman and roguish man.),Movie 1286: Somewhere in Time (Genres: Science Fiction, Drama, Fantasy, Romance; Language: en; Overview: Young writer time-travels, falls in love with actress, faces challenges.),Movie 1959: Out of Africa (Genres: Drama; Language: en; Overview: Danish author Karen Blixen's life in Africa, 20th century.),Movie 3052: Dogma (Genres: Fantasy, Comedy, Adventure; Language: en; Overview: Good and Evil clash in late 20th century New Jersey.),Movie 3175: Galaxy Quest (Genres: Comedy, Family, Science Fiction; Language: en; Overview: 1970s sci-fi stars help aliens against oppressive regime in space.),Movie 3451: Guess Who's Coming to Dinner (Genres: Comedy, Drama, Romance; Language: en; Overview: Couple's attitudes challenged when daughter brings home black fiancé.),Movie 3466: Heart and Souls (Genres: Fantasy, Drama, Comedy, Science Fiction, Romance; Language: en; Overview: Businessman reunites with childhood guardian angels for afterlife purpose.)",,
49,"Movie 480: Jurassic Park (Genres: Adventure, Science Fiction; Language: en; Overview: Entrepreneur's dinosaur theme park fails; dinosaurs escape, chaos ensues.),Movie 527: Schindler's List (Genres: Drama, History, War; Language: en; Overview: Oskar Schindler saved over a thousand Jewish lives in WWII.),Movie 556: The War Room (Genres: Documentary, History; Language: en; Overview: Documentary highlights Clinton campaign through spin doctors Carville and Stephanopoulos.),Movie 1036: Die Hard (Genres: Action, Thriller; Language: en; Overview: NYPD cop battles terrorists to save hostages and reconcile wife.),Movie 1356: Star Trek: First Contact (Genres: Science Fiction, Action, Adventure, Thriller; Language: en; Overview: Borg threaten Earth; Picard pursues them through time to stop.),Movie 2294: Antz (Genres: Adventure, Animation, Comedy, Family; Language: en; Overview: Ant switches places, joins parade, fights against termite army.),Movie 2355: A Bug's Life (Genres: Adventure, Animation, Comedy, Family; Language: en; Overview: Ant Flik recruits warrior bugs to protect colony from grasshoppers.),Movie 2692: Run Lola Run (Genres: Action, Drama, Thriller; Language: de; Overview: Lola must quickly raise money to save Manni from danger.),Movie 2947: Goldfinger (Genres: Adventure, Action, Thriller; Language: en; Overview: James Bond battles a villain to protect Fort Knox and economy.),Movie 3735: Serpico (Genres: Crime, Drama, History; Language: en; Overview: Honest NYC cop battles corruption within a flawed system.)",,
53,"Movie 32: Twelve Monkeys (Genres: Science Fiction, Thriller, Mystery; Language: en; Overview: James Cole time travels to uncover a deadly virus's origin.),Movie 902: Breakfast at Tiffany's (Genres: Comedy, Drama, Romance; Language: en; Overview: Holly and Paul fall in love; her past complicates romance.),Movie 1129: Escape from New York (Genres: Science Fiction, Action; Language: en; Overview: Manhattan prison holds criminals; soldier Snake Plissken must rescue President.),Movie 1240: The Terminator (Genres: Action, Thriller, Science Fiction; Language: en; Overview: Cyborg assassin sent to kill Sarah Connor; resistance fights back.),Movie 1884: Fear and Loathing in Las Vegas (Genres: Adventure, Drama, Comedy; Language: en; Overview: Sportswriter and lawyer embark on a drug-fueled Vegas adventure.),Movie 2140: The Dark Crystal (Genres: Fantasy; Language: en; Overview: Gelfling seeks crystal shard to restore order and defeat Skeksis.),Movie 2712: Eyes Wide Shut (Genres: Mystery, Drama; Language: en; Overview: Dr. Bill explores erotic fantasies, joining an overwhelming underground group.),Movie 2739: The Color Purple (Genres: Drama; Language: en; Overview: Celie endures abuse, seeks love, and dreams of reunion.),Movie 3175: Galaxy Quest (Genres: Comedy, Family, Science Fiction; Language: en; Overview: 1970s sci-fi stars help aliens against oppressive regime in space.),Movie 3264: Buffy the Vampire Slayer (Genres: Action, Comedy, Horror; Language: en; Overview: Buffy, cheerleader, battles vampires while pursuing her dreams.)",,
58,"Movie 750: Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (Genres: Drama, Comedy, War; Language: en; Overview: General Ripper's nuclear strike prompts frantic efforts to prevent disaster.),Movie 1129: Escape from New York (Genres: Science Fiction, Action; Language: en; Overview: Manhattan prison holds criminals; soldier Snake Plissken must rescue President.),Movie 1222: Full Metal Jacket (Genres: Drama, War; Language: en; Overview: Marine observes dehumanization of recruits during Vietnam War experiences.),Movie 1240: The Terminator (Genres: Action, Thriller, Science Fiction; Language: en; Overview: Cyborg assassin sent to kill Sarah Connor; resistance fights back.),Movie 1258: The Shining (Genres: Horror, Thriller; Language: en; Overview: Jack Torrance takes a winter caretaker job, facing unseen madness.),Movie 2021: Dune (Genres: Action, Science Fiction, Adventure; Language: en; Overview: War for Dune's Spice leads to betrayal and power struggles.),Movie 2140: The Dark Crystal (Genres: Fantasy; Language: en; Overview: Gelfling seeks crystal shard to restore order and defeat Skeksis.),Movie 2193: Willow (Genres: Adventure, Drama, Action; Language: en; Overview: Evil queen imprisons pregnant women; baby Elora escapes with Willow.),Movie 2467: The Name of the Rose (Genres: Drama, Thriller, Mystery; Language: en; Overview: William of Baskerville investigates murders at a monastery, defying authority.),Movie 3328: Ghost Dog: The Way of the Samurai (Genres: Crime, Drama; Language: en; Overview: African-American hitman, inspired by samurai, faces mob assassination threats.)",,
59,"Movie 58: The Postman (Genres: Comedy, Drama, Romance; Language: it; Overview: Italian postman discovers poetry, impresses Beatrice while delivering mail.),Movie 750: Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (Genres: Drama, Comedy, War; Language: en; Overview: General Ripper's nuclear strike prompts frantic efforts to prevent disaster.),Movie 900: An American in Paris (Genres: Drama, Comedy, Music, Romance; Language: en; Overview: American painter in Paris navigates friendship, love, and ambition.),Movie 902: Breakfast at Tiffany's (Genres: Comedy, Drama, Romance; Language: en; Overview: Holly and Paul fall in love; her past complicates romance.),Movie 1172: Cinema Paradiso (Genres: Drama, Romance; Language: it; Overview: Filmmaker remembers childhood love for movies and friendship with projectionist.),Movie 1959: Out of Africa (Genres: Drama; Language: en; Overview: Danish author Karen Blixen's life in Africa, 20th century.),Movie 2943: Indochine (Genres: Drama, Romance; Language: fr; Overview: French plantation owner Eliane sabotages daughter Camille's love for Jean-Baptiste.),Movie 3224: Woman in the Dunes (Genres: Drama, Thriller; Language: ja; Overview: Entomologist Jumpei Niki collects insects and stays overnight in village.),Movie 3549: Guys and Dolls (Genres: Comedy, Music, Romance; Language: en; Overview: Gambler and missionary fall in love amid a hidden bet.),Movie 3911: Best in Show (Genres: Comedy; Language: en; Overview: Excitement builds as diverse contestants prepare for Mayflower Dog Show.)",,
