user_id,groundtruth,top10_recommendations
82,"[2082, 1636, 1669, 1926, 1735, 1451, 1326, 1487, 2130, 1210]","[780, 165, 379, 206, 1554, 2339, 1926, 1451, 740, 739]"
89,"[1538, 163, 68, 2082, 102, 930, 2408, 770, 1867, 1035, 14, 239, 1618, 884, 341, 854, 1276, 191]","[383, 85, 1848, 2113, 1972, 1584, 1636, 1389, 2339, 139]"
91,"[1288, 1293, 1555, 280, 26, 670, 2334, 1068, 1839, 1968, 1974, 1210, 843, 1234, 2132, 1237, 231, 1642, 1516, 237, 1261, 638]","[231, 778, 245, 165, 1211, 1885, 1451, 740, 26, 85]"
92,"[418, 738, 740, 1220, 390, 422, 2312, 1419, 1805, 628, 186, 379]","[765, 1776, 2165, 688, 1205, 379, 1777, 2339, 1220, 738]"
96,"[2049, 770, 1162, 778, 1168, 1810, 31, 802, 165, 1332, 566, 1855, 970, 587, 206, 1234, 1390, 750, 1656]","[760, 2049, 768, 574, 737, 478, 761, 795, 1173, 566]"
100,"[2339, 165, 2314, 938, 1777, 1554, 1457, 948, 213, 1528, 1977]","[1206, 1885, 1154, 837, 1207, 2165, 1124, 975, 639, 318]"
108,"[2048, 1217, 738, 356, 581, 1028, 838, 840, 780, 1836, 748, 1687, 1688, 794]","[165, 780, 738, 379, 748, 1205, 1554, 1584, 765, 740]"
113,"[9, 426, 1259, 1227, 617, 1294, 1264, 1810, 1875, 1621, 567]","[66, 205, 2075, 991, 2135, 841, 1261, 1297, 651, 621]"
116,"[6, 1030, 778, 2060, 1936, 1425, 1296, 794, 28, 1311, 2080, 2339, 1588, 309, 575, 1600, 1216, 578, 850, 2130, 1234, 1504, 226, 738, 1636, 356, 108, 620, 753, 1394, 1274, 1790, 2431]","[1205, 738, 309, 688, 670, 2125, 1776, 1591, 578, 2237]"
117,"[769, 803, 2339, 6, 1926, 1288, 2312, 2314, 1867, 748, 1776, 1014, 26, 379, 380]","[780, 379, 206, 738, 740, 670, 748, 1776, 541, 1669]"
118,"[0, 1509, 2312, 1418, 1419, 624, 1618, 1555, 1268, 1020]","[1885, 1211, 318, 6, 2363, 2222, 639, 2115, 1987, 2151]"
122,"[1030, 1806, 17, 1685, 1942, 1687, 1178, 1183, 2087, 1454, 688, 1842, 1202, 565, 186, 1215, 321, 453, 1225, 206, 975, 594, 1881, 857, 91, 889, 737, 740, 231, 1776, 247, 761]","[777, 856, 2049, 2090, 761, 964, 91, 1760, 774, 1502]"
128,"[608, 1222, 1035, 43, 943, 1361, 753, 954, 1499, 895]","[359, 1885, 1417, 1206, 226, 2165, 1211, 639, 1370, 975]"
129,"[1856, 1219, 2053, 359, 1687, 237, 1778, 2227, 1205, 1975, 794, 2238]","[765, 1205, 1554, 748, 309, 1584, 2125, 670, 1778, 204]"
130,"[769, 148, 1945, 155, 416, 419, 809, 1450, 430, 2356, 1076, 830, 578, 1347, 195, 206, 731, 1627, 478, 98, 1251, 740, 101, 742, 360, 111, 1010, 2046]","[218, 1621, 1868, 191, 632, 787, 1403, 2419, 1756, 986]"
132,"[231, 1225, 1740, 1300, 2133, 341, 855, 1944, 91, 383]","[1437, 2116, 2133, 176, 1676, 1969, 1430, 73, 1342, 1139]"
133,"[930, 1124, 996, 1417, 1035, 1389, 338, 2227, 2170, 989]","[2339, 1669, 379, 1784, 1584, 1225, 1554, 206, 780, 1451]"
135,"[517, 10, 924, 541, 167, 2215, 171, 1202, 576, 577, 1231, 1237, 343, 2144, 225, 495, 1394, 626, 884, 760, 893]","[12, 632, 1861, 760, 968, 1451, 989, 667, 830, 191]"
136,"[418, 1155, 1669, 7, 232, 1449, 839, 975, 341, 247, 1624, 922, 380, 1914, 31]","[2339, 379, 165, 1669, 309, 1248, 748, 996, 2226, 1784]"
138,"[1413, 774, 1296, 1206, 1466, 189, 1728, 2112, 1220, 841, 842, 854, 1496, 349, 478, 2144, 737, 738, 739, 356]","[765, 780, 379, 541, 670, 165, 1687, 738, 1554, 739]"
145,"[768, 2049, 2050, 1166, 657, 1042, 785, 767, 658, 801, 674, 1971, 694, 1085, 573, 2369, 586, 2002, 2132, 1876, 726, 986, 1499, 1768, 2282, 1778, 754, 1659, 1916, 383]","[670, 780, 478, 2125, 2090, 777, 1004, 189, 1696, 341]"
146,"[1248, 1889, 1760, 1669, 806, 165, 2087, 1451, 755, 1975, 1784, 765]","[1885, 1211, 837, 165, 245, 1417, 1225, 1451, 1926, 739]"
147,"[1280, 1282, 1669, 638, 781, 1042, 1429, 1174, 663, 280, 2203, 798, 2207, 1697, 165, 1063, 1577, 1449, 1836, 1709, 1455, 304, 1458, 2227, 1459, 1462, 1211, 829, 573, 1856, 1474, 963, 1219, 2115, 840, 1609, 842, 588, 846, 975, 1232, 2262, 1239, 1887, 1504, 97, 738, 100, 740, 1513, 875, 237, 2285, 2286, 1778, 1780, 245, 1268, 1528, 761, 379, 2045, 1534, 383]","[1885, 1211, 1205, 1207, 245, 975, 422, 2165, 205, 499]"
148,"[769, 2178, 6, 1416, 2185, 778, 1931, 1292, 144, 145, 657, 1427, 663, 1177, 2074, 1818, 2076, 1180, 541, 922, 288, 667, 1182, 798, 165, 422, 2215, 2087, 2090, 309, 2174, 1211, 189, 1219, 964, 1861, 1350, 2384, 1361, 728, 2009, 856, 1372, 733, 734, 220, 996, 100, 1638, 2406, 2408, 2409, 364, 748, 1649, 1395, 379, 632, 1403, 2172, 2302, 895]","[1010, 1447, 206, 189, 986, 787, 1817, 541, 1030, 737]"
149,"[1152, 2048, 1024, 1669, 781, 657, 787, 148, 790, 794, 667, 1691, 669, 285, 798, 2215, 1451, 2362, 574, 1345, 203, 2125, 206, 218, 220, 989, 738, 484, 740, 1766, 1010, 761, 380, 767]","[206, 1451, 1817, 31, 191, 1030, 495, 1447, 218, 541]"
150,"[769, 773, 390, 1929, 2314, 778, 139, 22, 1302, 924, 670, 1569, 1451, 2349, 1459, 695, 63, 2112, 1735, 1225, 1101, 2387, 854, 347, 220, 733, 987, 989, 738, 2153, 2409, 364, 2285, 2290, 244, 884, 2170, 1791]","[206, 1225, 989, 1451, 31, 382, 189, 627, 139, 1055]"
155,"[573, 1092, 587, 1389, 1949, 1810, 341, 1785, 634, 989, 574, 895]","[1934, 1474, 2363, 2153, 2115, 1907, 2222, 1738, 2170, 2151]"
156,"[2178, 784, 276, 1818, 668, 800, 803, 165, 1577, 2090, 1450, 1451, 1839, 2223, 2351, 309, 1980, 189, 576, 1350, 839, 842, 203, 341, 987, 1248, 1889, 738, 228, 2149, 744, 746, 2285, 1774, 2031, 1777, 1394, 756, 760, 764, 1661]","[541, 627, 761, 2090, 830, 850, 784, 740, 1205, 670]"
160,"[1795, 777, 778, 12, 1421, 1422, 1166, 783, 1938, 154, 667, 1182, 165, 806, 2087, 1706, 1864, 331, 466, 2386, 341, 349, 733, 2272, 1253, 2409, 882, 764, 1789, 1919]","[760, 737, 657, 154, 579, 2049, 1795, 690, 1451, 31]"
161,"[1154, 2115, 1730, 778, 1482, 14, 914, 2358, 954, 222, 63]","[1885, 1154, 837, 499, 975, 206, 954, 165, 1554, 226]"
164,"[1378, 1251, 772, 1687, 1228, 589, 1836, 1327, 1202, 1810, 2227, 823, 2392, 2299, 189, 2303]","[2406, 541, 2144, 1202, 478, 2153, 670, 2008, 349, 2125]"
165,"[2306, 773, 5, 19, 1300, 670, 674, 1571, 1828, 165, 427, 1327, 1208, 1983, 578, 843, 2129, 850, 2260, 600, 344, 356, 486, 746, 750, 495, 1010, 2171]","[495, 1202, 817, 830, 991, 1451, 989, 206, 1030, 780]"
168,"[2181, 775, 1160, 904, 778, 782, 1170, 148, 1687, 791, 537, 26, 1691, 1179, 924, 1436, 2076, 930, 2339, 674, 1584, 1842, 1463, 2361, 318, 1215, 2114, 68, 588, 1361, 1493, 341, 478, 737, 740, 2152, 748, 1389, 1010, 2419, 2164, 759, 506, 1276, 1277]","[1584, 1211, 748, 740, 2165, 1885, 794, 850, 1417, 318]"
172,"[1024, 2433, 640, 2052, 1801, 2186, 778, 1935, 1808, 1938, 1684, 789, 662, 1174, 792, 154, 1818, 1178, 1309, 1310, 798, 2340, 432, 690, 2230, 60, 704, 832, 1601, 579, 2123, 1878, 726, 1370, 2267, 2270, 992, 1376, 2017, 101, 2150, 750, 1647, 1646, 1774, 759, 379, 1277, 763]","[2124, 759, 1827, 750, 478, 577, 2270, 777, 737, 1939]"
174,"[0, 779, 17, 1299, 1173, 662, 663, 667, 1691, 795, 1179, 1442, 1584, 568, 569, 2259, 1879, 346, 1756, 989, 737, 738, 739, 356, 1638, 1010, 1268, 635]","[830, 218, 774, 657, 1696, 139, 31, 191, 206, 884]"
177,"[738, 784, 624, 1904, 1171, 1172, 659, 2268, 2393, 2076, 1855]","[2090, 2237, 1499, 1502, 1205, 777, 1776, 1881, 1774, 782]"
180,"[2306, 773, 1157, 895, 1944, 27, 670, 31, 1827, 43, 1459, 1205, 1983, 2112, 1735, 349, 748, 380, 1661, 382, 2047]","[627, 830, 1205, 165, 1760, 740, 1206, 1669, 359, 1696]"
186,"[0, 640, 3, 644, 647, 778, 12, 781, 17, 1554, 1043, 145, 1276, 1046, 1049, 1786, 924, 1055, 288, 939, 941, 305, 1972, 1076, 1974, 1079, 2358, 189, 574, 191, 704, 192, 1983, 326, 1096, 331, 1741, 462, 87, 985, 346, 1374, 992, 1380, 1896, 1131, 2289, 1140, 634, 506, 2172, 1789, 766]","[1817, 191, 976, 991, 986, 2017, 683, 2419, 324, 2442]"
191,"[1925, 2442, 139, 780, 1295, 1810, 276, 662, 1277, 2074, 670, 1311, 417, 1854, 578, 2125, 975, 737, 997, 2281, 1779, 1402, 1789, 382]","[160, 1225, 231, 780, 1974, 165, 1584, 856, 1848, 830]"
192,"[1030, 135, 1041, 1810, 1171, 785, 1687, 1304, 1175, 795, 1563, 1582, 567, 722, 2259, 739, 2409, 2285, 625, 756, 376]","[760, 1810, 737, 495, 101, 2270, 1450, 154, 768, 986]"
194,"[1152, 2306, 1669, 775, 904, 2312, 778, 2319, 15, 1041, 1554, 1428, 149, 662, 278, 664, 1560, 1818, 1049, 1691, 541, 670, 285, 37, 1447, 42, 43, 432, 49, 2354, 309, 53, 1718, 567, 1721, 2359, 1339, 572, 1983, 319, 705, 1092, 712, 586, 1868, 1100, 341, 726, 87, 1496, 478, 993, 742, 231, 744, 1383, 2026, 491, 750, 2287, 112, 1394, 2418, 244, 2421, 1908, 755, 504, 245, 1914, 380, 893, 1279]","[2339, 1554, 765, 1669, 1926, 2144, 309, 670, 160, 341]"
197,"[0, 782, 1554, 148, 2074, 670, 1183, 2334, 1317, 165, 2222, 1327, 1456, 1968, 1455, 309, 578, 837, 839, 1225, 2259, 91, 478, 1760, 748, 1774, 624, 1906, 2165, 2422, 1785, 1916]","[165, 765, 2165, 1554, 309, 670, 1317, 627, 1211, 748]"
198,"[2314, 140, 1943, 165, 2087, 173, 2229, 1215, 578, 841, 204, 975, 1237, 856, 353, 738, 1386, 875, 748, 1774, 755, 379, 2172]","[837, 1205, 765, 2165, 1154, 1207, 226, 627, 943, 850]"
200,"[1473, 1865, 1101, 1006, 1645, 1918, 1622, 1079, 2045, 830]","[1451, 1470, 1907, 856, 383, 667, 382, 206, 12, 778]"
201,"[1419, 780, 17, 1049, 924, 2087, 1447, 2090, 688, 1975, 2361, 1211, 2047, 1216, 1987, 1988, 837, 326, 1223, 1225, 1866, 1483, 1867, 1362, 2009, 1117, 1502, 738, 226, 1636, 740, 1776, 2164, 757, 117, 380, 639]","[780, 206, 1225, 383, 1669, 740, 739, 26, 1055, 418]"
203,"[1668, 268, 662, 280, 798, 422, 2222, 1584, 1202, 1459, 1972, 1079, 186, 574, 63, 1225, 844, 2125, 857, 218, 347, 739, 2150, 617, 1258, 2284, 1654, 761, 506]","[245, 627, 379, 226, 1225, 1584, 206, 1211, 1470, 1451]"
204,"[1889, 2178, 1219, 740, 1251, 2150, 2312, 695, 778, 587, 1833, 750, 688, 789, 1687, 478]","[478, 2049, 737, 760, 577, 759, 2124, 750, 744, 770]"
207,"[992, 737, 770, 738, 1156, 1350, 154, 1257, 2125, 667, 1906, 857, 1178, 1818, 1756, 830, 31]","[541, 31, 830, 341, 765, 780, 737, 1451, 740, 777]"
211,"[2114, 1251, 418, 1317, 740, 7, 1416, 904, 657, 1361, 499, 245, 309, 1687, 856, 927]","[1885, 165, 245, 740, 231, 738, 837, 670, 1669, 309]"
213,"[0, 1249, 647, 231, 7, 2442, 1688, 814, 1810, 1812, 1626, 1848, 474, 1310, 2335]","[139, 1810, 1450, 206, 780, 1451, 1784, 189, 31, 857]"
215,"[2, 1411, 1165, 1935, 785, 1169, 22, 1432, 157, 797, 1696, 2082, 806, 1974, 572, 1217, 1474, 1608, 1353, 330, 2125, 2259, 853, 854, 1879, 1370, 91, 1885, 989, 737, 738, 2149, 231, 1260, 1774, 1777, 1138, 1779, 1910, 380, 765, 2302]","[845, 2090, 1416, 806, 1772, 856, 780, 2048, 131, 1347]"
219,"[2048, 2082, 739, 740, 964, 1251, 1927, 1131, 2380, 1389, 627, 1175]","[737, 206, 382, 31, 341, 541, 780, 760, 478, 657]"
222,"[1696, 357, 1735, 105, 938, 1451, 1836, 107, 268, 975, 948, 1877, 1974, 924, 350]","[1885, 245, 837, 1206, 1211, 418, 165, 1154, 1205, 975]"
223,"[1696, 739, 773, 165, 1350, 1288, 2409, 232, 658, 1848, 2047]","[1451, 780, 189, 857, 495, 165, 739, 31, 740, 670]"
224,"[2178, 1795, 2308, 1402, 1422, 1554, 663, 1179, 2215, 939, 1451, 1712, 316, 317, 1859, 1347, 1861, 975, 1872, 721, 722, 337, 342, 855, 1880, 857, 220, 2270, 737, 376, 1257, 2026, 111, 2161, 754, 1395, 369, 1784, 1786, 1147, 1790]","[189, 737, 760, 206, 2270, 341, 1451, 2017, 572, 726]"
228,"[1569, 2116, 1574, 2439, 1386, 2314, 91, 495, 976, 2418, 338, 1554, 2421, 2422, 54, 1402, 1179]","[1669, 1451, 1927, 1756, 139, 1447, 2151, 1675, 1638, 666]"
229,"[769, 1669, 1287, 2312, 2185, 657, 1178, 669, 930, 171, 2352, 189, 1600, 2112, 712, 975, 850, 341, 740, 744, 2159, 2419, 1276]","[787, 206, 1451, 2049, 341, 189, 382, 541, 1030, 379]"
234,"[1296, 22, 793, 667, 155, 795, 2082, 802, 165, 1317, 422, 809, 1450, 440, 954, 570, 828, 572, 830, 189, 576, 577, 1981, 1091, 72, 586, 1614, 2259, 2263, 855, 985, 2012, 349, 736, 1376, 737, 740, 101, 376, 1767, 742, 360, 1770, 1257, 2161, 1779, 1651, 1911, 760]","[1173, 787, 760, 2049, 576, 101, 737, 572, 1446, 1170]"
236,"[1215, 418, 739, 1157, 6, 2153, 245, 1016, 1210, 91, 572, 351]","[231, 1584, 1451, 1211, 740, 379, 245, 1205, 1554, 627]"
237,"[768, 2049, 12, 1420, 782, 791, 541, 2337, 1827, 1317, 2093, 304, 1727, 1872, 1883, 100, 1638, 745, 2302]","[795, 2090, 2049, 761, 784, 567, 1347, 541, 1175, 191]"
239,"[100, 1669, 68, 1417, 1451, 782, 975, 309, 823, 794, 670]","[780, 765, 670, 165, 478, 379, 578, 206, 740, 1554]"
240,"[1378, 578, 1861, 2087, 680, 780, 2286, 1554, 22, 670]","[379, 541, 165, 1554, 738, 780, 670, 748, 2165, 627]"
241,"[289, 930, 68, 2312, 2026, 171, 1836, 495, 433, 1361, 1304, 1404, 989, 31]","[1584, 780, 1554, 379, 165, 206, 627, 670, 2339, 1669]"
244,"[1696, 1889, 1220, 2149, 1733, 740, 2248, 695, 745, 2038, 759, 1016, 91, 349, 478, 2271]","[765, 738, 2125, 1205, 670, 2165, 850, 780, 740, 2284]"
254,"[0, 770, 1429, 534, 667, 670, 2339, 422, 1454, 1077, 1718, 1208, 1472, 837, 1733, 966, 330, 2389, 1877, 1879, 1499, 989, 231, 879, 1523, 244, 1274, 765, 1790, 2047]","[765, 1205, 837, 1885, 627, 379, 975, 359, 1206, 850]"
257,"[839, 2312, 829, 975, 1554, 1906, 1907, 1975, 794, 765]","[837, 1211, 1154, 975, 318, 245, 1207, 1554, 1584, 1205]"
258,"[1795, 165, 1030, 778, 171, 144, 17, 189, 665, 989, 191]","[382, 341, 189, 1810, 780, 2049, 1669, 165, 830, 740]"
260,"[6, 10, 139, 12, 16, 913, 663, 667, 156, 418, 1442, 806, 2087, 309, 572, 317, 331, 728, 1886, 1760, 996, 231, 2286, 759, 1400, 379, 1404, 2303]","[495, 218, 189, 31, 1030, 382, 780, 2017, 1010, 1451]"
263,"[801, 740, 38, 2151, 746, 588, 1966, 1584, 757, 1687, 1178, 1883, 1885]","[780, 740, 379, 1584, 2125, 1459, 309, 1470, 1836, 739]"
264,"[2272, 32, 1728, 1793, 1600, 2182, 2314, 1451, 1259, 746, 659, 1270, 474, 382]","[1451, 780, 670, 189, 478, 382, 760, 578, 165, 740]"
266,"[32, 770, 326, 904, 12, 206, 462, 1687, 728, 26, 380]","[1907, 206, 1451, 382, 1669, 1817, 189, 856, 667, 1361]"
267,"[1280, 672, 1730, 1157, 1350, 1383, 904, 168, 780, 1134, 1969, 1974, 793, 246, 1977]","[1934, 383, 837, 226, 1470, 975, 6, 499, 318, 231]"
269,"[1600, 578, 803, 1669, 165, 1925, 2248, 1932, 754, 1779, 794, 667, 478]","[765, 738, 165, 379, 1554, 780, 850, 206, 670, 578]"
270,"[1280, 1281, 6, 1286, 1030, 778, 794, 26, 670, 165, 1317, 1068, 1327, 433, 567, 695, 1211, 2112, 1216, 450, 474, 738, 1383, 744, 362, 619, 1389, 753, 1906, 2419, 1139, 2165]","[165, 379, 670, 1554, 1205, 1317, 740, 738, 778, 2125]"
271,"[1280, 132, 1669, 1925, 775, 2442, 778, 780, 1293, 1808, 2320, 914, 662, 1687, 280, 665, 285, 2207, 2215, 1447, 938, 1451, 309, 1206, 695, 1205, 1339, 317, 843, 1361, 1760, 996, 1636, 2151, 744, 743, 748, 627, 1277]","[183, 206, 1225, 1447, 1554, 627, 1669, 1584, 165, 379]"
272,"[0, 121, 738, 1280, 1539, 231, 2409, 1584, 627, 2358, 2104, 1465, 1404, 31]","[780, 1451, 231, 1584, 379, 206, 1225, 778, 1926, 0]"
273,"[578, 803, 1635, 2442, 2284, 1584, 1777, 850, 16, 148, 1174, 22, 1784, 541, 382]","[1451, 1784, 382, 2409, 341, 2017, 1030, 780, 2312, 139]"
277,"[1829, 1063, 2280, 553, 1866, 751, 2039, 471, 1594, 2427]","[1751, 1703, 1597, 1532, 561, 2425, 2372, 2098, 391, 1199]"
280,"[704, 2339, 36, 167, 975, 1046, 22, 155, 189, 1310]","[760, 1810, 737, 189, 986, 2312, 572, 2270, 1451, 768]"
283,"[2306, 2179, 2312, 1419, 785, 663, 1304, 2074, 2076, 31, 1450, 1719, 964, 841, 1227, 206, 857, 2409, 1515, 1516, 1389, 1905, 1394, 2165, 247, 761, 1916]","[379, 1554, 780, 1926, 670, 1591, 204, 213, 743, 839]"
284,"[2112, 2114, 2282, 746, 798, 2287, 784, 1906, 754, 1942, 2263, 1656, 1049, 2299, 2270, 31]","[760, 657, 2270, 478, 2048, 577, 761, 1910, 572, 189]"
290,"[2049, 738, 331, 781, 1886, 341, 1175, 728, 380, 2046]","[1881, 761, 795, 784, 573, 1416, 1347, 569, 91, 1179]"
292,"[768, 1554, 1428, 1173, 663, 536, 1304, 1179, 668, 804, 167, 1450, 2112, 195, 326, 203, 1872, 341, 1129, 2282, 2283, 1907, 1016, 1786, 635, 1789]","[787, 218, 667, 382, 341, 632, 191, 1451, 189, 1810]"
294,"[1925, 2442, 1419, 666, 1949, 1447, 2087, 830, 1225, 850, 1618, 341, 1751, 1629, 1630, 1889, 739, 2151, 745, 1776, 1906]","[2339, 1225, 22, 1669, 780, 739, 670, 189, 1629, 1584]"
298,"[1474, 770, 101, 742, 1992, 2089, 2155, 784, 754, 695, 154]","[495, 968, 218, 2017, 191, 1817, 986, 1030, 787, 632]"
299,"[1668, 1669, 648, 1168, 1300, 795, 2090, 1451, 2348, 686, 954, 318, 830, 1727, 975, 722, 2261, 857, 1499, 738, 1004, 2031, 245, 2165, 767]","[165, 780, 738, 670, 379, 341, 1554, 1451, 777, 748]"
300,"[1539, 2184, 2312, 12, 22, 1046, 1688, 1687, 26, 1178, 1818, 1183, 1696, 31, 2227, 1972, 1974, 1718, 189, 1854, 63, 2113, 201, 857, 474, 357, 231, 1383, 748, 1010, 627, 765]","[231, 26, 1972, 1030, 382, 830, 778, 218, 1055, 989]"
301,"[768, 2050, 774, 7, 2312, 10, 139, 778, 16, 661, 165, 38, 427, 1068, 1451, 683, 1584, 309, 1848, 2233, 1465, 186, 318, 191, 705, 1731, 1225, 347, 738, 748, 2419, 884, 1014, 379, 2045]","[1215, 1584, 780, 1293, 231, 1836, 1465, 165, 1206, 2207]"
302,"[644, 647, 1421, 1429, 1176, 1054, 799, 1449, 705, 1614, 856, 728, 218, 1756, 1758, 996, 1010, 2172, 766, 2047]","[830, 989, 1451, 856, 657, 189, 218, 382, 1030, 857]"
306,"[2049, 776, 654, 1935, 1181, 541, 1696, 674, 803, 1073, 566, 823, 438, 705, 579, 580, 585, 2124, 206, 722, 342, 478, 737, 744, 746, 379, 764, 2046]","[2144, 817, 2049, 737, 541, 774, 760, 189, 784, 478]"
